rating,film,rating_date
3,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan (2006),"July 17, 2018, 9:44 AM"
3,Once (2007),"July 17, 2018, 9:44 AM"
3,Welcome to the Sticks (2008),"July 17, 2018, 9:42 AM"
3,The Good Wife (2009),"July 17, 2018, 9:42 AM"
3,The Informant! (2009),"July 17, 2018, 9:42 AM"
3,Brüno (2009),"July 17, 2018, 9:42 AM"
3,Zootopia (2016),"July 17, 2018, 9:40 AM"
3,Extant (2014),"July 17, 2018, 9:40 AM"
5,The Young Ones (1982),"July 17, 2018, 9:38 AM"
5,Mars Attacks! (1996),"July 17, 2018, 9:35 AM"
8,Grande Illusion (1937),"July 16, 2018, 11:28 AM"
8,Battleship Potemkin (1925),"July 16, 2018, 11:25 AM"
8,The Piano Teacher (2001),"July 16, 2018, 11:25 AM"
8,The Jetty (The Pier) (1962),"July 16, 2018, 10:18 AM"
3,Argo (2012),"July 16, 2018, 10:00 AM"
3,Seven Psychopaths (2012),"July 16, 2018, 10:00 AM"
5,House of Cards (2013),"July 16, 2018, 9:58 AM"
5,Black Mirror: Be Right Back (2013),"July 16, 2018, 9:58 AM"
5,Midnight in Paris (2011),"July 16, 2018, 9:58 AM"
5,Black Mirror: The National Anthem (2011),"July 16, 2018, 9:58 AM"
5,Game of Thrones (2011),"July 16, 2018, 9:58 AM"
5,Buddha Collapsed out of Shame (Buda az sharm foru rikht) (2007),"July 16, 2018, 9:58 AM"
7,To Be and to Have (2002),"July 16, 2018, 9:58 AM"
5,Promises (2001),"July 16, 2018, 9:58 AM"
5,Donnie Darko (2001),"July 16, 2018, 9:58 AM"
5,"O Brother, Where Art Thou? (2000)","July 16, 2018, 9:57 AM"
5,American Beauty (1999),"July 16, 2018, 9:57 AM"
5,Burn After Reading (2008),"July 16, 2018, 9:57 AM"
5,The Ice Storm (1997),"July 16, 2018, 9:57 AM"
5,Being John Malkovich (1999),"July 16, 2018, 9:57 AM"
5,Shower (1999),"July 16, 2018, 9:57 AM"
5,The External World (2010),"July 16, 2018, 9:57 AM"
5,Waltz with Bashir (2008),"July 16, 2018, 9:57 AM"
7,The Cabinet of Dr. Caligari (1920),"July 16, 2018, 9:49 AM"
5,"Crouching Tiger, Hidden Dragon (2000)","July 16, 2018, 9:45 AM"
7,To Have and Have Not (1944),"July 16, 2018, 9:35 AM"
7,Arsenic and Old Lace (1944),"July 16, 2018, 9:35 AM"
7,Bringing Up Baby (1938),"July 16, 2018, 9:35 AM"
7,All About Eve (1950),"July 16, 2018, 9:34 AM"
7,It's a Wonderful Life (1946),"July 16, 2018, 9:34 AM"
7,Double Indemnity (1944),"July 16, 2018, 9:34 AM"
7,Welcome Mr. Marshall (1953),"July 16, 2018, 9:32 AM"
7,Mon oncle (1958),"July 16, 2018, 9:32 AM"
7,The 400 Blows (1959),"July 16, 2018, 9:31 AM"
7,The Man Who Shot Liberty Valance (1962),"July 16, 2018, 9:30 AM"
7,A Short Film About Love (1988),"July 16, 2018, 9:29 AM"
7,Shoah (1985),"July 16, 2018, 9:29 AM"
7,Taxi Driver (1976),"July 16, 2018, 9:29 AM"
7,Dersu Uzala (1975),"July 16, 2018, 9:28 AM"
7,Crimes and Misdemeanors (1989),"July 16, 2018, 9:27 AM"
7,Pulp Fiction (1994),"July 16, 2018, 9:26 AM"
7,Drifting Clouds (1996),"July 16, 2018, 9:25 AM"
8,Eight and a Half (8½) (1963),"July 16, 2018, 9:13 AM"
8,Stalker (1979),"July 16, 2018, 9:13 AM"
8,Fanny & Alexander (1982),"July 16, 2018, 9:11 AM"
8,The Rules of the Game (1939),"July 16, 2018, 9:11 AM"
8,M (1931),"July 16, 2018, 9:11 AM"
3,La La Land (2016),"July 16, 2018, 2:24 AM"
3,Inception (2010),"July 11, 2018, 8:09 PM"
1,Jurassic World: Fallen Kingdom (2018),"July 11, 2018, 7:15 PM"
5,Coco (2017),"July 11, 2018, 6:34 PM"
3,Videodrome (1983),"July 11, 2018, 0:06 AM"
5,Star Wars: The Force Awakens (2015),"July 9, 2018, 9:57 PM"
3,Star Wars. Episode VI: Return of the Jedi (1983),"July 9, 2018, 9:52 PM"
1,Rogue One: A Star Wars Story (2016),"July 9, 2018, 6:50 AM"
3,Léon: The Professional (1994),"May 24, 2018, 11:31 AM"
1,Mr. and Mrs. Smith (2005),"May 24, 2018, 11:15 AM"
5,A Dangerous Method (2011),"May 24, 2018, 10:34 AM"
10,The Sacrifice (1986),"May 17, 2018, 4:00 AM"
5,The Descendants (2011),"May 2, 2018, 4:50 AM"
7,Fargo (1996),"April 27, 2018, 2:27 AM"
8,Onibaba (1964),"April 27, 2018, 2:25 AM"
3,Hedwig and the Angry Inch (2001),"April 15, 2018, 11:22 PM"
3,The Rules of Attraction (2002),"April 15, 2018, 9:01 PM"
3,The Queen (2006),"April 15, 2018, 8:59 PM"
3,(500) Days of Summer (2009),"April 15, 2018, 8:58 PM"
3,Hung (2009),"April 15, 2018, 8:58 PM"
3,Blue Valentine (2010),"April 15, 2018, 8:58 PM"
3,The Crazy Ones (2013),"April 15, 2018, 8:57 PM"
3,Blade Runner 2049 (2017),"April 15, 2018, 8:57 PM"
7,The Kid (1921),"April 13, 2018, 9:39 AM"
7,The Big Lebowski (1998),"April 13, 2018, 9:37 AM"
7,"Saló, or the 120 Days of Sodom (1975)","April 13, 2018, 9:17 AM"
10,Persona (1966),"April 13, 2018, 3:10 AM"
1,Focus (2015),"February 5, 2018, 8:15 PM"
5,Homeland (2011),"March 13, 2017, 1:53 AM"
8,The Apartment (1960),"September 11, 2015, 8:00 AM"
9,Au hasard Balthazar (1966),"September 11, 2015, 7:33 AM"
9,Wild Strawberries (1957),"September 11, 2015, 7:33 AM"
1,The Beach (2000),"March 14, 2015, 10:57 PM"
1,The Interview (2014),"March 8, 2015, 0:06 PM"
3,I Origins (2014),"March 6, 2015, 8:00 PM"
9,Mouchette (1967),"February 17, 2015, 1:00 PM"
1,CSI: New York (2004),"February 15, 2015, 3:28 PM"
1,CSI: Crime Scene Investigation - Las Vegas (2000),"February 15, 2015, 3:28 PM"
1,CSI: Miami (2002),"February 15, 2015, 3:28 PM"
5,Black Mirror: 15 Million Merits (2011),"February 15, 2015, 3:22 PM"
7,Ariel (1988),"February 15, 2015, 3:18 PM"
8,Citizen Kane (1941),"February 15, 2015, 3:12 PM"
8,Modern Times (1936),"February 15, 2015, 3:11 PM"
8,Nosferatu (1922),"February 15, 2015, 3:11 PM"
8,The General (1926),"February 15, 2015, 3:08 PM"
1,Twilight (2008),"February 15, 2015, 2:57 PM"
1,Bruce Almighty (2003),"February 15, 2015, 2:47 PM"
8,"Dr. Strangelove, or How I Learned to Stop Worrying and Love the Bomb (1964)","February 14, 2015, 7:17 AM"
8,Vertigo (1958),"February 14, 2015, 4:34 AM"
9,Viridiana (1961),"February 14, 2015, 4:32 AM"
1,Devious Maids (2013),"February 14, 2015, 3:49 AM"
3,The Hobbit: The Desolation of Smaug (2013),"February 14, 2015, 3:47 AM"
3,The Hobbit: The Battle of the Five Armies (2014),"February 14, 2015, 3:47 AM"
3,The Hobbit: An Unexpected Journey (2012),"February 14, 2015, 3:46 AM"
3,The Last Ship (2014),"September 25, 2014, 2:12 AM"
1,Mistresses (2013),"September 25, 2014, 1:03 AM"
1,The Strain (2014),"September 25, 2014, 1:00 AM"
1,Scorpion (2014),"September 25, 2014, 0:54 AM"
1,Sucker Punch (2011),"July 8, 2014, 1:46 AM"
1,The Killing Room (2009),"July 7, 2014, 8:18 AM"
5,Hannibal (2013),"March 4, 2014, 5:33 AM"
1,Dragonball Evolution (2009),"February 24, 2014, 11:00 PM"
3,Almost Human (2013),"February 24, 2014, 1:13 AM"
1,The Tomorrow People (2013),"February 22, 2014, 2:11 AM"
5,Enough Said (2013),"February 19, 2014, 0:37 AM"
3,About Time (2013),"February 19, 2014, 0:37 AM"
3,As Good As It Gets (1997),"February 15, 2014, 9:28 AM"
1,Sherlock Holmes (2009),"February 12, 2014, 7:38 PM"
1,Project X (2012),"February 12, 2014, 1:41 PM"
8,The Hole (The Night Watch) (1960),"February 10, 2014, 4:53 PM"
1,The Ugly Truth (2009),"February 3, 2014, 5:07 AM"
1,The Holiday (2006),"February 2, 2014, 3:18 PM"
1,He's Just Not That Into You (2009),"February 2, 2014, 3:18 PM"
1,Pretty Woman (1990),"February 2, 2014, 3:14 PM"
5,Rocky VI (1986),"February 2, 2014, 2:24 PM"
8,The Godfather (1972),"February 2, 2014, 10:31 AM"
8,Freaks (1932),"February 2, 2014, 10:29 AM"
3,Modern Family (2009),"January 31, 2014, 0:42 PM"
1,The Vampire Diaries (2009),"January 31, 2014, 0:40 PM"
3,Looper (2012),"January 31, 2014, 11:45 AM"
1,Avatar (2009),"January 31, 2014, 11:44 AM"
3,The Wave (2008),"January 31, 2014, 11:42 AM"
5,Bowling for Columbine (2002),"January 31, 2014, 11:39 AM"
1,Fast & Furious 6 (2013),"January 31, 2014, 11:37 AM"
3,Pinocchio (1940),"January 31, 2014, 11:36 AM"
1,American Reunion (2012),"January 31, 2014, 11:31 AM"
5,Sherlock (2010),"January 31, 2014, 11:29 AM"
5,Escape from Alcatraz (1979),"January 31, 2014, 11:27 AM"
5,Monty Python's Life of Brian (1979),"January 31, 2014, 11:27 AM"
5,Hell (2010),"January 31, 2014, 11:27 AM"
5,The Dark Knight (2008),"January 31, 2014, 11:26 AM"
5,Requiem for a Dream (2000),"January 31, 2014, 11:26 AM"
5,No Man's Land (2001),"January 31, 2014, 11:26 AM"
5,Donnie Brasco (1997),"January 31, 2014, 10:55 AM"
5,Seven (1995),"January 31, 2014, 10:54 AM"
5,L.A. Confidential (1997),"January 31, 2014, 10:53 AM"
5,Futurama (1999),"January 31, 2014, 10:52 AM"
5,Ghost Dog: The Way of the Samurai (1999),"January 31, 2014, 10:52 AM"
5,The Wrestler (2008),"January 31, 2014, 10:49 AM"
7,The Bad and the Beautiful (1952),"January 31, 2014, 10:48 AM"
5,In Treatment (2008),"January 31, 2014, 10:48 AM"
5,The Man Next Door (2009),"January 31, 2014, 10:48 AM"
5,Toy Story 3 (2010),"January 31, 2014, 10:47 AM"
7,Casablanca (1942),"January 31, 2014, 10:45 AM"
7,Happiness (Schastye) (1935),"January 31, 2014, 10:45 AM"
7,Rebecca (1940),"January 31, 2014, 10:45 AM"
7,The Asphalt Jungle (1950),"January 31, 2014, 10:44 AM"
7,Spellbound (1945),"January 31, 2014, 10:43 AM"
7,The African Queen (1951),"January 31, 2014, 10:43 AM"
7,On the Waterfront (1954),"January 31, 2014, 10:42 AM"
8,Paths of Glory (1957),"January 31, 2014, 10:42 AM"
7,Accattone (1961),"January 31, 2014, 10:41 AM"
7,Sleuth (1972),"January 31, 2014, 10:40 AM"
7,Full Metal Jacket (1987),"January 31, 2014, 10:39 AM"
7,A Clockwork Orange (1971),"January 31, 2014, 10:38 AM"
7,The Birds (1963),"January 31, 2014, 10:37 AM"
7,Cool Hand Luke (1967),"January 31, 2014, 10:37 AM"
7,The Godfather Part III (1990),"January 31, 2014, 10:37 AM"
8,The Godfather: Part II (1974),"January 31, 2014, 10:32 AM"
5,The Wall (1982),"January 31, 2014, 10:26 AM"
5,Platoon (1986),"January 31, 2014, 10:26 AM"
5,Delicatessen (1991),"January 31, 2014, 10:24 AM"
5,The Shining (1980),"January 31, 2014, 10:23 AM"
5,One Flew Over the Cuckoo's Nest (1975),"January 31, 2014, 10:22 AM"
5,Young Frankenstein (1974),"January 31, 2014, 10:22 AM"
5,The French Connection (1971),"January 31, 2014, 10:21 AM"
5,They Call Me Trinity (1970),"January 31, 2014, 10:19 AM"
5,Patton (1970),"January 31, 2014, 10:19 AM"
5,The Graduate (1967),"January 31, 2014, 10:19 AM"
5,Bonnie & Clyde (1967),"January 31, 2014, 10:19 AM"
5,The Pink Panther (1964),"January 31, 2014, 10:18 AM"
5,The Pink Phink (1964),"January 31, 2014, 10:18 AM"
5,Giant (1956),"January 31, 2014, 10:17 AM"
5,Rabbit of Seville (1950),"January 31, 2014, 10:16 AM"
5,The Big Store (1941),"January 31, 2014, 10:15 AM"
5,Horse Feathers (1932),"January 31, 2014, 10:14 AM"
5,Looney Tunes (1930),"January 31, 2014, 10:14 AM"
5,Go West (1925),"January 31, 2014, 10:14 AM"
1,My Cousin Vinny (1992),"January 31, 2014, 10:11 AM"
1,Batman: The Animated Series (1992),"January 31, 2014, 10:11 AM"
1,Lucky Luke (1984),"January 31, 2014, 10:10 AM"
1,The Karate Kid (1984),"January 31, 2014, 10:10 AM"
1,Superman: The Movie (1978),"January 31, 2014, 10:09 AM"
5,The Girl with the Dragon Tattoo (2011),"January 31, 2014, 10:06 AM"
5,Sleep Tight (2011),"January 31, 2014, 10:05 AM"
5,Shameless (2011),"January 31, 2014, 10:05 AM"
5,Inside Job (2010),"January 31, 2014, 10:05 AM"
3,Day & Night (2010),"January 31, 2014, 10:05 AM"
5,"Bicycle, Spoon, Apple (2010)","January 31, 2014, 10:05 AM"
5,The Social Network (2010),"January 31, 2014, 10:05 AM"
5,Elisa K (2010),"January 31, 2014, 10:05 AM"
5,Buried (2010),"January 31, 2014, 10:05 AM"
5,The King's Speech (2010),"January 31, 2014, 10:05 AM"
5,Winter's Bone (2010),"January 31, 2014, 10:05 AM"
5,The Cove (2009),"January 31, 2014, 10:05 AM"
5,Cell 211 (2009),"January 31, 2014, 10:05 AM"
5,The Little Chinese Seamstress (2002),"January 31, 2014, 10:04 AM"
5,Gran Torino (2008),"January 31, 2014, 10:04 AM"
5,Inglourious Basterds (2009),"January 31, 2014, 10:03 AM"
5,Misfits (2009),"January 31, 2014, 10:03 AM"
5,Presto (2008),"January 31, 2014, 10:03 AM"
5,El truco del manco (2008),"January 31, 2014, 10:03 AM"
5,Vicky Cristina Barcelona (2008),"January 31, 2014, 10:03 AM"
5,The Hurt Locker (2008),"January 31, 2014, 10:03 AM"
5,John Adams (2008),"January 31, 2014, 10:03 AM"
5,Milk (2008),"January 31, 2014, 10:03 AM"
5,Zodiac (2007),"January 31, 2014, 10:03 AM"
5,Ratatouille (2007),"January 31, 2014, 10:02 AM"
5,Californication (2007),"January 31, 2014, 10:02 AM"
5,There Will Be Blood (2007),"January 31, 2014, 10:02 AM"
5,Irina Palm (2007),"January 31, 2014, 10:02 AM"
5,[•REC] (2007),"January 31, 2014, 10:02 AM"
5,Paranoid Park (2007),"January 31, 2014, 10:02 AM"
3,Juno (2007),"January 31, 2014, 10:02 AM"
5,The Diving Bell and the Butterfly (2007),"January 31, 2014, 10:02 AM"
3,Damages (2007),"January 31, 2014, 10:02 AM"
5,The Night of the Sunflowers (2006),"January 31, 2014, 10:02 AM"
5,Little Miss Sunshine (2006),"January 31, 2014, 10:01 AM"
3,The Departed (2006),"January 31, 2014, 10:01 AM"
5,This Is England (2006),"January 31, 2014, 10:01 AM"
3,Babel (2006),"January 31, 2014, 10:01 AM"
5,Weeds (2005),"January 31, 2014, 10:01 AM"
5,"Good Night, and Good Luck. (2005)","January 31, 2014, 10:01 AM"
5,Wallace & Gromit: The Curse of the Were-Rabbit (2005),"January 31, 2014, 10:01 AM"
5,Cinderella Man (2005),"January 31, 2014, 10:01 AM"
5,How I Met Your Mother (2005),"January 31, 2014, 10:01 AM"
5,Brokeback Mountain (2005),"January 31, 2014, 10:01 AM"
3,Munich (2005),"January 31, 2014, 10:00 AM"
3,China Blue (2005),"January 31, 2014, 10:00 AM"
5,Maestro (2005),"January 31, 2014, 10:00 AM"
3,Maria Full Of Grace (2004),"January 31, 2014, 10:00 AM"
5,The Motorcycle Diaries (2004),"January 31, 2014, 10:00 AM"
5,Fahrenheit 9/11 (Fahrenheit 911) (2004),"January 31, 2014, 10:00 AM"
5,Deadwood (2004),"January 31, 2014, 10:00 AM"
3,The Incredibles (2004),"January 31, 2014, 10:00 AM"
3,The Assassination of Richard Nixon (2004),"January 31, 2014, 9:59 AM"
3,The Bourne Supremacy (2004),"January 31, 2014, 9:59 AM"
3,The Downfall: Hitler and the End of the Third Reich (2004),"January 31, 2014, 9:59 AM"
3,Crash (2004),"January 31, 2014, 9:59 AM"
5,"House, M.D. (2004)","January 31, 2014, 9:59 AM"
5,Melinda and Melinda (2004),"January 31, 2014, 9:59 AM"
3,The Aviator (2004),"January 31, 2014, 9:59 AM"
3,House of Flying Daggers (2004),"January 31, 2014, 9:59 AM"
5,Turtles Can Fly (2004),"January 31, 2014, 9:59 AM"
3,Saw (2004),"January 31, 2014, 9:59 AM"
5,The Barbarian Invasions (2003),"January 31, 2014, 9:59 AM"
3,"Good Bye, Lenin! (2003)","January 31, 2014, 9:58 AM"
5,Lost in Translation (2003),"January 31, 2014, 9:58 AM"
5,Earthlings (2005),"January 31, 2014, 9:58 AM"
3,Touching The Void (2003),"January 31, 2014, 9:58 AM"
5,Big Fish (2003),"January 31, 2014, 9:58 AM"
3,The Pianist (2002),"January 31, 2014, 9:58 AM"
5,Ice Age (2002),"January 31, 2014, 9:58 AM"
5,Catch Me If You Can (2002),"January 31, 2014, 9:58 AM"
5,The Shield (2002),"January 31, 2014, 9:58 AM"
3,The Bourne Identity (2002),"January 31, 2014, 9:58 AM"
3,Chicago (2002),"January 31, 2014, 9:58 AM"
3,The Quiet American (2002),"January 31, 2014, 9:58 AM"
5,Amelie (2001),"January 31, 2014, 9:57 AM"
3,"Monsters, Inc. (2001)","January 31, 2014, 9:57 AM"
5,The Curse of the Jade Scorpion (2001),"January 31, 2014, 9:57 AM"
3,Shrek (2001),"January 31, 2014, 9:57 AM"
5,Traffic (2000),"January 31, 2014, 9:56 AM"
5,American Psycho (2000),"January 31, 2014, 9:56 AM"
3,Billy Elliot (2000),"January 31, 2014, 9:56 AM"
3,Pellet (2000),"January 31, 2014, 9:56 AM"
5,Snatch (2000),"January 31, 2014, 9:56 AM"
5,Nine Queens (2000),"January 31, 2014, 9:56 AM"
5,High Fidelity (2000),"January 31, 2014, 9:56 AM"
3,Dirty Dishes (1999),"January 31, 2014, 9:56 AM"
5,Blackadder Back & Forth (1999),"January 31, 2014, 9:55 AM"
5,The Matrix (1999),"January 31, 2014, 9:55 AM"
5,Cowboy Bebop (1998),"January 31, 2014, 9:55 AM"
3,The Dinner Game (1998),"January 31, 2014, 9:55 AM"
5,The Thin Red Line (1998),"January 31, 2014, 9:55 AM"
5,The Truman Show (1998),"January 31, 2014, 9:55 AM"
3,Shakespeare in Love (1998),"January 31, 2014, 9:55 AM"
3,Life Is Beautiful (1997),"January 31, 2014, 9:55 AM"
5,The Full Monty (1997),"January 31, 2014, 9:55 AM"
5,The English Patient (1996),"January 31, 2014, 9:54 AM"
5,Shine (1996),"January 31, 2014, 9:54 AM"
5,Airbag (1997),"January 31, 2014, 9:54 AM"
3,Wallace and Gromit in A Close Shave (1995),"January 31, 2014, 9:54 AM"
5,Things to Do in Denver When You're Dead (1995),"January 31, 2014, 9:54 AM"
3,The Shawshank Redemption (1994),"January 31, 2014, 9:54 AM"
3,Forrest Gump (1994),"January 31, 2014, 9:53 AM"
5,The Mask (1994),"January 31, 2014, 9:53 AM"
1,Bump in the Night (1994),"January 31, 2014, 9:53 AM"
5,Wallace & Gromit in The Wrong Trousers (1993),"January 31, 2014, 9:53 AM"
3,In the Name of the Father (1993),"January 31, 2014, 9:53 AM"
5,Perturbado (1993),"January 31, 2014, 9:53 AM"
3,Philadelphia (1993),"January 31, 2014, 9:53 AM"
5,Schindler's List (1993),"January 31, 2014, 9:53 AM"
3,Boyz N the Hood (1991),"January 31, 2014, 9:52 AM"
3,The Adventures of Tintin (1991),"January 31, 2014, 9:52 AM"
5,The Silence of the Lambs (1991),"January 31, 2014, 9:52 AM"
5,The Fresh Prince of Bel-Air (1990),"January 31, 2014, 9:52 AM"
3,Awakenings (1990),"January 31, 2014, 9:52 AM"
5,A Grand Day Out with Wallace and Gromit (1989),"January 31, 2014, 9:52 AM"
5,Dead Poets Society (1989),"January 31, 2014, 9:52 AM"
3,Driving Miss Daisy (1989),"January 31, 2014, 9:52 AM"
5,Dragon Ball Z (1989),"January 31, 2014, 9:52 AM"
5,Akira (1988),"January 31, 2014, 9:52 AM"
5,Die Hard (1988),"January 31, 2014, 9:51 AM"
5,Cinema Paradiso (1988),"January 31, 2014, 9:51 AM"
3,Mississippi Burning (1988),"January 31, 2014, 9:51 AM"
3,A Fish Called Wanda (1988),"January 31, 2014, 9:51 AM"
3,The Last Emperor (1987),"January 31, 2014, 9:51 AM"
5,Dragon Ball (1986),"January 31, 2014, 9:51 AM"
3,The Name of the Rose (1986),"January 31, 2014, 9:51 AM"
3,The Color Purple (1985),"January 31, 2014, 9:51 AM"
5,The Purple Rose of Cairo (1985),"January 31, 2014, 9:51 AM"
5,Beat Street (1984),"January 31, 2014, 9:50 AM"
3,Amadeus (1984),"January 31, 2014, 9:50 AM"
5,Dune (1984),"January 31, 2014, 9:50 AM"
3,M.U.S.C.L.E. (1983),"January 31, 2014, 9:50 AM"
5,Monty Python's The Meaning of Life (1983),"January 31, 2014, 9:50 AM"
3,The Charlie Brown and Snoopy Show (1983),"January 31, 2014, 9:50 AM"
5,Indiana Jones: Raiders of the Lost Ark (1981),"January 31, 2014, 9:49 AM"
3,Silver Linings Playbook (2012),"January 31, 2014, 9:49 AM"
5,Shanghaied (1915),"January 31, 2014, 9:49 AM"
5,The Postman Always Rings Twice (1981),"January 31, 2014, 9:48 AM"
5,Doctor Slump (1981),"January 31, 2014, 9:48 AM"
5,E.T. the Extra-Terrestrial (1982),"January 31, 2014, 9:47 AM"
5,Family Plot (1976),"January 31, 2014, 9:47 AM"
3,Brubaker (1980),"January 31, 2014, 9:47 AM"
3,The Blues Brothers (1980),"January 31, 2014, 9:47 AM"
3,Fawlty Towers (1975),"January 31, 2014, 9:46 AM"
5,Love and Death (1975),"January 31, 2014, 9:46 AM"
5,Mortadelo y Filemón: El armario del tiempo (1971),"January 31, 2014, 9:46 AM"
5,Dirty Harry (1971),"January 31, 2014, 9:46 AM"
5,Bananas (1971),"January 31, 2014, 9:46 AM"
5,The Benny Hill Show (1969),"January 31, 2014, 9:46 AM"
3,The Road Runner Show (1966),"January 31, 2014, 9:46 AM"
5,The Undersea World of Jacques Cousteau (1966),"January 31, 2014, 9:46 AM"
3,Get Smart (1965),"January 31, 2014, 9:46 AM"
5,Inherit the Wind (1960),"January 31, 2014, 9:45 AM"
5,Gandhi (1982),"January 31, 2014, 9:45 AM"
5,Sweet Smell of Success (1957),"January 31, 2014, 9:44 AM"
5,Gilda (1946),"January 31, 2014, 9:44 AM"
5,Saboteur (1942),"January 31, 2014, 9:44 AM"
5,Mr. and Mrs. Smith (1941),"January 31, 2014, 9:44 AM"
5,At the Circus (1939),"January 31, 2014, 9:44 AM"
5,The Lady Vanishes (1938),"January 31, 2014, 9:44 AM"
5,Monkey Business (1931),"January 31, 2014, 9:44 AM"
3,The Amazing Spider-Man (2012),"January 31, 2014, 9:43 AM"
3,The Intouchables (2011),"January 31, 2014, 9:43 AM"
3,Out of a Forest (2010),"January 31, 2014, 9:43 AM"
1,Slumdog Millionaire (2008),"January 31, 2014, 9:43 AM"
3,Shaun the Sheep (2007),"January 31, 2014, 9:42 AM"
3,A Beautiful Mind (2001),"January 31, 2014, 9:42 AM"
3,Revolutionary Road (2008),"January 31, 2014, 9:41 AM"
3,Kobe Doin' Work (2009),"January 31, 2014, 9:41 AM"
3,Ice Age: Scrat's Continental Crack-Up (2010),"January 31, 2014, 9:41 AM"
3,The Bourne Ultimatum (2007),"January 31, 2014, 9:41 AM"
3,Zeitgeist: The Movie (2007),"January 31, 2014, 9:41 AM"
3,Into the Wild (2007),"January 31, 2014, 9:40 AM"
3,Four Minutes (2006),"January 31, 2014, 9:40 AM"
3,The Prestige (2006),"January 31, 2014, 9:40 AM"
3,Deja Vu (2006),"January 31, 2014, 9:40 AM"
3,Perfume: The Story of a Murderer (2006),"January 31, 2014, 9:40 AM"
3,Casino Royale (2006),"January 31, 2014, 9:40 AM"
3,The Protector (2005),"January 31, 2014, 9:39 AM"
3,An Unfinished Life (2005),"January 31, 2014, 9:39 AM"
3,Walk the Line (2005),"January 31, 2014, 9:39 AM"
3,Batman Begins (2005),"January 31, 2014, 9:39 AM"
1,Collateral (2004),"January 31, 2014, 9:39 AM"
3,Tsotsi (2005),"January 31, 2014, 9:39 AM"
3,Entourage (2004),"January 31, 2014, 9:39 AM"
3,Imaginary Heroes (2004),"January 31, 2014, 9:39 AM"
3,Million Dollar Baby (2004),"January 31, 2014, 9:38 AM"
3,The Edukators (2004),"January 31, 2014, 9:38 AM"
3,The Chorus (2004),"January 31, 2014, 9:38 AM"
3,The Terminal (2004),"January 31, 2014, 9:38 AM"
3,Hotel Rwanda (2004),"January 31, 2014, 9:37 AM"
3,Salvador (Puig Antich) (2006),"January 31, 2014, 9:37 AM"
3,The Illusionist (2006),"January 31, 2014, 9:37 AM"
3,Ice Age 2: The Meltdown (2006),"January 31, 2014, 9:37 AM"
3,The Others (2001),"January 31, 2014, 9:36 AM"
3,The Experiment (2001),"January 31, 2014, 9:36 AM"
3,El tren de la bruja (2003),"January 31, 2014, 9:36 AM"
3,The Sea Inside (2004),"January 31, 2014, 9:36 AM"
3,The Lord of the Rings: The Return of the King (2003),"January 31, 2014, 9:36 AM"
1,Master and Commander: The Far Side of the World (2003),"January 31, 2014, 9:36 AM"
1,Radio (2003),"January 31, 2014, 9:36 AM"
3,The Life of David Gale (2003),"January 31, 2014, 9:35 AM"
3,Girl With a Pearl Earring (2003),"January 31, 2014, 9:35 AM"
3,Road to Perdition (2002),"January 31, 2014, 9:35 AM"
3,John Q. (2002),"January 31, 2014, 9:35 AM"
3,The Whamming Hour (2002),"January 31, 2014, 9:35 AM"
3,Minority Report (2002),"January 31, 2014, 9:35 AM"
3,8 Mile (2002),"January 31, 2014, 9:34 AM"
3,Harry Potter and the Sorcerer's Stone (2001),"January 31, 2014, 9:33 AM"
3,Training Day (2001),"January 31, 2014, 9:33 AM"
3,Ali (2001),"January 31, 2014, 9:33 AM"
3,The Nutty Professor (1996),"January 31, 2014, 9:32 AM"
3,Good Will Hunting (1997),"January 31, 2014, 9:32 AM"
3,Geri's Game (1997),"January 31, 2014, 9:32 AM"
3,Pokémon (1997),"January 31, 2014, 9:32 AM"
3,The Sixth Sense (1999),"January 31, 2014, 9:32 AM"
3,Fight Club (1999),"January 31, 2014, 9:31 AM"
3,Les Misérables (2000),"January 31, 2014, 9:31 AM"
3,Chicken Run (2000),"January 31, 2014, 9:31 AM"
3,For the Birds (2000),"January 31, 2014, 9:31 AM"
3,Cast Away (2000),"January 31, 2014, 9:31 AM"
3,The Lord of the Rings: The Fellowship of the Ring (2001),"January 31, 2014, 9:31 AM"
1,Pearl Harbor (2001),"January 31, 2014, 9:31 AM"
3,El secdleto de la tlompeta (El secreto de la trompeta) (1995),"January 31, 2014, 9:31 AM"
3,Four Weddings and a Funeral (1994),"January 31, 2014, 9:30 AM"
3,The Lion King (1994),"January 31, 2014, 9:30 AM"
3,Mort & Phil (1994),"January 31, 2014, 9:30 AM"
3,Mad Dog and Glory (1993),"January 31, 2014, 9:30 AM"
3,Beakman's World (1992),"January 31, 2014, 9:30 AM"
3,Basic Instinct (1992),"January 31, 2014, 9:30 AM"
3,Ninja Hattori-kun (1981),"January 31, 2014, 9:30 AM"
3,Searching for Bobby Fischer (1993),"January 31, 2014, 9:28 AM"
3,Dances with Wolves (1990),"January 31, 2014, 9:28 AM"
3,Las cartas de Alou (1990),"January 31, 2014, 9:28 AM"
3,Ghost (1990),"January 31, 2014, 9:28 AM"
3,Who Framed Roger Rabbit (1988),"January 31, 2014, 9:28 AM"
3,Robocop (1987),"January 31, 2014, 9:28 AM"
3,The Law of Desire (1987),"January 31, 2014, 9:28 AM"
